CN8,PC8,PC8_all,n_pc8,years_found,mapping_source,CN8plus,flag,flagyear,in_your_data,resolved_by_harmonizer,status
29031910,20141357,20141357,1,"2013,2014,2015",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29031980,20141357,20141357,1,"2013,2014,2015",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29033100,20141910,20141910,1,"2013,2014,2015,2016,2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29033911,20141910,20141910,1,"2013,2014,2015,2016,2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29033915,20141910,20141910,1,"2013,2014,2015,2016,2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29033919,20141910,20141910,1,"2013,2014,2015,2016,2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29033921,20141910,20141910,1,"2016,2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29033923,20141910,20141910,1,"2016,2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29033924,20141910,20141910,1,"2016,2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29033925,20141910,20141910,1,"2016,2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29033926,20141910,20141910,1,"2016,2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29033927,20141910,20141910,1,"2016,2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29033928,20141910,20141910,1,"2016,2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29033929,20141910,20141910,1,"2016,2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29033931,20141910,20141910,1,"2016,2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29033935,20141910,20141910,1,"2016,2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29033939,20141910,20141910,1,"2016,2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29033980,20141910,20141910,1,"2016,2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29033990,20141910,20141910,1,"2013,2014,2015",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29037710,20141930,20141930,1,"2013,2014,2015",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29037720,20141930,20141930,1,"2013,2014,2015",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29037730,20141930,20141930,1,"2013,2014,2015",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29037740,20141930,20141930,1,"2013,2014,2015",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29037750,20141930,20141930,1,"2013,2014,2015",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29037911,20141930,20141930,1,"2013,2014,2015",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29037919,20141930,20141930,1,"2013,2014,2015",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29037921,20141930,20141930,1,"2013,2014,2015",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29037929,20141930,20141930,1,"2013,2014,2015",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29037990,20141930,20141930,1,"2013,2014,2015",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29038980,20141950,20141950,1,"2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29038990,20141950,20141950,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29039990,20141970,20141970,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29049040,20141490,20141490,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29049095,20141490,20141490,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29053925,20142339,20142339,1,"2013,2014,2015",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29096000,20146360,20146360,1,"2013,2014,2015,2016,2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29146990,20146260,20146260,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29147000,20146270,20146270,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29171990,20143383,20143383,1,"2013,2014,2015",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29173995,20143440,20143440,1,"2013,2014,2015,2016,2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29181950,20143475,20143475,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29209020,20145380,20145380,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29209030,20145380,20145380,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29209040,20145380,20145380,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29209050,20145380,20145380,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29209085,20145380,20145380,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29211960,20144119,20144119,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29221310,20144237,20144237,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29221390,20144237,20144237,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29221910,20144239,20144239,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29221920,20144239,20144239,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29221930,20144239,20144239,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29221985,20144239,20144239,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29242998,21102070,21102070,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29269095,20144370,20144370,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29299000,20144490,20144490,1,"2013,2014,2015,2016,2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29305000,20145139,20145139,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29309020,20145139,20145139,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29309060,20145139,20145139,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29309098,20145139,20145139,1,"2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29309099,20145139,20145139,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29313100,20145151,20145151,1,"2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29313200,20145151,20145151,1,"2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29313300,20145151,20145151,1,"2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29313400,20145151,20145151,1,"2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29313500,20145151,20145151,1,"2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29313600,20145151,20145151,1,"2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29313700,20145151,20145151,1,"2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29313800,20145151,20145151,1,"2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29313920,20145151,20145151,1,"2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29313930,20145151,20145151,1,"2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29313950,20145151,20145151,1,"2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29313960,20145151,20145151,1,"2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29313990,20145151,20145151,1,"2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29319010,20145151,20145151,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29319020,20145151,20145151,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29319030,20145151,20145151,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29319040,20145151,20145151,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29319050,20145151,20145151,1,"2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29319060,20145151,20145151,1,"2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29319080,20145151,20145151,1,"2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29319090,20145150,20145150,1,"2013,2014",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29350030,21103200,21103200,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29350090,21103200,21103200,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29397100,21105300,21105300,1,"2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29397900,21105300,21105300,1,2017,harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29399100,21105300,21105300,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29399900,21105300,21105300,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
30021010,21202125,21202125,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
30021091,21202125,21202125,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
30021098,21202125,21202125,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
30021100,21202125,21202125,1,"2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
30021900,21202125,21202125,1,"2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
30022000,21202145,21202145,1,"2013,2014,2015,2016,2017,2018,2019,2020",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
30022010,21202146,21202146,1,2021,harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
30022090,21202149,21202149,1,2021,harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
30023000,21202160,21202160,1,"2013,2014,2015,2016,2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
30029050,21106055,21106055,1,"2013,2014,2015,2016,2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
30029090,21106055,21106055,1,"2013,2014,2015,2016,2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
30034020,21201310,21201310,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
30034030,21201310,21201310,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
30034080,21201310,21201310,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
30044020,21201340,21201340,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
30044030,21201340,21201340,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
30044040,21201340,21201340,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
30044080,21201340,21201340,1,"2013,2014,2015,2016",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
30062000,21202320,21202320,1,"2013,2014,2015,2016,2017,2018,2019,2020,2021",harmonizer,NA,NA,NA,TRUE,TRUE,RESOLVED – harmonizer
29314990,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,STILL UNMAPPED
30069200,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,STILL UNMAPPED
